name,description
Cambridge Books Evidence Based Acquisition (EBA),"An e-book purchase model that gives institutions access to an extensive online collection of books published by Cambridge University Press and their publishing partners. Covers a wide range of subjects in humanities, social sciences, science, technology and medicine. The database allows institutions to make informed decisions about which titles to own based on usage data.<br />  <br />  Availability: Data and statisctics<br />  Date Coverage: - - - -"
Cambridge Companions,"The complete collection of companions published by Cambridge University Press.<br />  The Cambridge Companions Platform offers four collections:<br />  The Complete Companions<br />  The Companions to Literature and Classics<br />  The Companions to Philosophy, Religion and Culture<br />  The Companions to Music<br />  <br />  Availability: Full-text<br />  Date Coverage: Complete collection till end of 2021"
Cambridge Histories online,"An e-book collection bringing together over 260 volumes from the Cambridge Histories series. Volumes are grouped into topics and cover over 15 different subject areas, including: American history, British history, economic history, general history, history of science, language and linguistics, literary studies, music, philosophy, religious studies, theatre studies and performing arts. <br />  <br />  Availability: Full-text<br />  Coverage: Complete collection till end of 2021"
Cambridge Journals,"A Collection of 230 peer-reviewed academic journals published by Cambridge University Press and containing the latest research.<br />  <br />  All titles are accessible from volume 1, issue 1. Subjects covered: agriculture, architecture, biology, computer science, economics, engineering, history, language, mathematics, medicine, political sciences, psychology, &much more.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
Cambridge Shakespeare,"Complete works of Shakespeare together with a wealth of integrated, prize-winning reference material and the entire collection of Shakespeare Survey."
Case Files Collection,"Access Medicine’s Case Files Collection from McGraw-Hill Education offers the best-selling Case Files® content in an interactive format. Updated regularly, this comprehensive collection (case studies, multimedia, podcasts) helps students learn and apply basic science and clinical medicine concepts in the context of realistic patient cases. "
Center for Research in Security Prices (CRSP) (WRDS),"The Center for Research in Security Prices, LLC (CRSP) maintains the most comprehensive collection of security price, return, and volume data for the NYSE, AMEX and NASDAQ stock markets. Additional CRSP files provide stock indices, beta-based and cap-based portfolios, treasury bond and risk-free rates, mutual funds, and real estate data. <br />  Date Coverage: 1962- Present"
"Central Asia, Persia and Afghanistan, 1834-1922",Coverage: 1834-1922
Chatham House Online Archive Module 1: 1920-1979,"Contains full-text  publications and archives of the Royal Institute of International Affairs (Chatham House). It offers access to audio recordings of Chatham House lectures and their transcripts, in addition to briefing papers, special reports, pamphlets, conference papers, monographs, and more."
ChemIDplus,"A free, web search system that provides access to the structure and nomenclature authority files used for the identification of chemical substances cited in National Library of Medicine (NLM) databases. ChemIDplus contains more than 400,000 chemical records, of which over 300,000 include chemical structures. It has two versions. ChemIDplus Lite and ChemIDplus Advanced."
Christian Science Monitor Weekly,"An award-winning independent news organization, The Christian Science Monitor is the source for meaningful, balanced, and thought provoking-global news. <br />  <br />  Coverage: October 2014 - Present"
Christian-Muslim Relations 1500-1900,"A Bibliographical History of relations between the two faiths, as they are reflected in works written by Christians and Muslims about the other and against the other. Covers all parts of the world. Published by BRILL.<br />  Date coverage: 1500-1914."
Christian-Muslim Relations 600-1500,"A bibliographical history online. It is a general online history of relations between the faiths.<br />  It covers the period from 600 to 1500 CE, when encounters took place through the extended Mediterranean basin. The encounters are recorded in Syriac, Arabic, Greek, Latin and other languages. It comprises introductory essays on the treatment of Christians in the Qur’an, Qur’an commentaries, biographies of the Prophet, Hadith and Sunni law, and of Muslims in canon law, and the main body of more than two hundred detailed entries on all the works recorded, whether surviving or lost.<br />  <br />  Availability: Full-text<br />  Coverage: 600-1500<br />  Format: HTML<br />  Features: Direct link to RefWorks (Citation Management Software)"
"Chronicle of Higher Education, The","Provides daily reports on developments in higher education, information technology, distance education. In addition to weekly issues and job listings, it contains daily updates on a variety of topics of interest in higher education, and updated databases of grant opportunities.<br />  <br />  Availability: Selected full-text<br />  Date Coverage: 1989 to present<br />  Print Equivalent: Chronicle of Higher Education"
Church Missionary Society Periodicals,"Publications from Church Missionary Society, South American Missionary Society and Church of England Zenana Missionary Society. Users are prompted to add exception to access the database.<br />  <br />  The database documents missionary works from the nineteenth to the twentieth century. This online portal includes journals, letters, reports, images, maps, serialized accounts of indigenous peoples, family news including births, marriages and deaths as well as a register of missionaries detailing the movements of men, women and native clergy. Many of the titles in Church Missionary Society Periodicals evolved over time, reflecting the changing aims of the societies. Sample titles include The CMS Cleaner (continued as CMS Outlook and then Yes Magazine), The CMS Intelligencer (continued as Church Missionary Review), Ruanda Notes, and South American Missionary Society Magazine.   <br />  <br />  Availability: Full-text <br />  Coverage: 1804 till 2009 <br />  Format: PDF <br />  Features: Direct link to RefWorks (Citation Management Software)"
Churchill Archive,"More than 800,000 pages of original documents amassed by Winston Churchill throughout his lifetime.<br />  The archives contain hand-written notes, private letters, wartime speeches, telegrams, manuscripts, government transcripts and other key historical documents, as well as writings that earned Churchill the Nobel Prize for Literature. The collection can be browsed by topic, people, place and period.<br />  <br />  Availability: Full-text<br />  Coverage: 1874-1965<br />  Features: Indirect link to RefWorks (Citation Management Software)"
CINAHL Ultimate,"CINAHL® Ultimate is the definitive resource for nursing and allied health research, providing full text for more of the most used journals in the CINAHL index than any other database - with no embargo. It covers more than 50 nursing specialties and includes quick lessons, evidence-based care sheets, CEU models, and research instruments. <br />  <br />  Availability: Full-text"
CiteScore,"CiteScore metrics for journals and serials.<br />  CiteScore metrics from Scopus are:<br />  Comprehensive, Transparent, Current and free"
Classic Arabic Texts Online,"Offers around 19,000 pages of classic Brill editions of Arabic texts in a full-text, searchable format, accessible from one single point of entry.<br />  CATO includes the following titles:<br />  Bibliotheca Geographorum Arabicorum (with indices and glossaries) edited by M.J. de Goeje and J.H. Kramers<br />  De Goeje’s edition of al-Ṭabarī’s Taʾrīkh al-rusul wa l-mulūk<br />  De Goeje’s edition of al-Balādhūrī’s Kitāb Futūḥ al-buldān<br />  Origins of the Islamic State by Murgotten and Hitti, the English translation of al-Balādhūrī’s Kitāb Futūḥ al-buldān<br />  <br />  Availability: Full-text<br />  Coverage: Varies<br />  Format: HTML<br />  Features: Direct link to RefWorks (Citation Management Software)"
Clinical Skills,"Online access to evidence-based skills and procedures.<br />  Content has been adapted from authoritative leading nursing societies such as the American Association of Critical-Care Nurses and the American Society for Parenteral and Enteral Nutrition. Skills are reviewed and updated regularly. Over 1,300 skills are featured within specialties.<br />  <br />  Availability: Full-text<br />  Coverage: Current"
ClinicalKey,"Provides the most current clinically relevant evidence-based answers, expert commentary, MEDLINE abstracts and select third-party journals.<br />  It gives access to books, journals, videos, procedures, and images. (previously MDConsult) <br />  Users are prompted to add exception to access the database.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Coverage: Current"
ClinicalKey for Nursing,"A comprehensive online resource for nurses offering authoritative information, helping nurses find evidence-based answers to clinical questions, provide better patient care, educate patients, and stay informed of new developments in nursing.<br />  <br />  Users are prompted to add exception to access the database.<br />  <br />  Availability: Full-text<br />  Coverage: Current"
Cochrane Library,"A collection of six databases that contains different types of independent high quality evidence for health care decision making: Cochrane Database of Systematic Reviews, Cochrane Central Register of Controlled Trials, Cochrane Methodology Register, Database of Abstracts of Reviews of Effects, Health Technology Assessment Database, NHS Economic Evaluation Database: <br />  <br />  Availability: Full-text and bibliographic citations<br />  Coverage:  2012 to present"
"Compustat Global (WRDS)-(first time user, click on the “register” tab)","A full-text database of financial, statistical and market information on active and inactive global companies. Data covered: Accounting, Banking, Economics, Finance, ESG, and Statistics. It helps to track performance, understand industry dynamics, perform valuation and assess credit risk."
Conference Proceedings Citation Index - Science (CPCI-S),"CPCI-S includes the published literature of the most significant conferences, symposia, seminars, colloquia, workshops, and conventions in all scientific and technical fields. Subjects covered include agriculture, biochemistry, biology, computer science, engineering, environmental sciences, medicine and physics. The database is accessed via Web of Science and allows cited reference searching, results analysis, citation mapping, and the creation of citation reports.<br />  <br />  Coverage: 1990 - Present"
Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),"CPCI-SSH includes the published literature of the most significant conferences, symposia, seminars, colloquia, workshops, and conventions in all fields of social sciences, arts and humanities. Subjects covered include art, economics, history, literature, management, philosophy, psychology, public health and sociology. The database is accessed via Web of Science and allows cited reference searching, results analysis, citation mapping, and the creation of citation reports.<br />  <br />  Coverage: 1990 - Present"
"Confidential Print: Middle East, 1839-1969","A collection of primary sources documents issued by the British Foreign and Colonial Offices. Users are prompted to add exception to access the database.The collection covers a broad sweep of history from 1839 to 1969, taking in the countries of the Arabian Peninsula, the Levant, Iraq, Turkey and many of the former Ottoman lands in Europe, Iran, Afghanistan, Egypt and Sudan. It consists of reports, dispatches, correspondence, political summaries, economic analyses and descriptions of leading personalities. All documents are fully text-searchable.<br />  <br />  Availability: Full-text<br />  Coverage: 1839-1969<br />  Features: Direct link to RefWorks (Citation Management Software)"
Congressional Publications,"Congressional Record is the official record of the proceedings, debates, and activity of the U.S. Congress.<br />  In addition to debates, the Congressional Record contains extensive additional reprinting of inserted materials, communications from the President and the Executive Branch, memorials, petitions, and information on legislation. The Record presents minutes-style coverage. Coverage for each day includes the proceedings of the House and the Senate, an “Extension of Remarks” section and a “Daily Digest” summary.<br />  <br />  Availability: Full-text<br />  Coverage: 1789 to present<br />  How to use: Quick Start"
Coptic Gnostic Library,"The main sources of information for the Gnostic religion are the so-called Nag Hammadi codices, written in Coptic.<br />  These were unearthed in 1945 near the town of Nag Hammadi in Upper Egypt. The Coptic Gnostic Library contains all the texts of the Nag Hammadi codices, both in the original Coptic and in translation. Each text has its own introduction, and full indexes are provided. The Coptic Gnostic Library is the starting point for all research into ancient Gnosticism. The Coptic Gnostic Library is an authoritative edition of many of the Coptic writings of the Gnostics from the first centuries AD. It was originally published by Brill in fourteen hardback volumes as part of the Nag Hammadi (and Manichaean) Studies series between 1975 and 1995.<br />  <br />  Availability: Full-text<br />  Coverage: Varies<br />  Format: HTML<br />  Features: Direct link to RefWorks (Citation Management Software)"
Covidence,"Covidence is an online tool tailored to consolidate the process of conducting various types of reviews i.e. systematic literature reviews, rapid reviews, umbrella reviews or Overview of reviews, scoping reviews, and literature reviews or narrative reviews."
Credo Information Literacy - Core,
Crop Protection Compendium,"Published by CAB International, Crop Protection Compendium is a time-saving, encyclopedic, mixed-media tool that draws together information on all aspects of crop protection. It features extensive global coverage of pests, diseases, weeds and their natural enemies. This compendium includes datasheets, pictures, journal and conference articles, and an interactive glossary.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Coverage:  1700s to present"
Cumhuriyet (1928-2023),"Cumhuriyet (“The Republic”) is the oldest secular Turkish daily newspaper. Over the years, Cumhuriyet has stood witness to the changing landscape of Turkey’s political, social and economic environment. The newspaper has sustained its coverage of domestic and international news, providing critical documentation of Turkey’s dynamic history and its relations with the global community.<br />  Availability: Full text<br />  Date Coverage: 1930-2020"
Daily Mail Historical Archive (1896-2004),"A digital archive of the British newspaper, the Daily Mail. Provides full-text access to the newspaper's backfiles, from its first issue in 1896 till the end of 2004. The newspaper focuses significantly on female audiences, providing an important insight into the attitudes, interests and opinions of women.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1896-2004"
Dead Sea Scrolls Electronic Library Biblical Texts,"Complete Hebrew transcription and English translation of the Biblical texts, together with high-resolution images.<br />  The contents of this online publication is identical to that of the Dead Sea Scrolls Electronic Library Biblical Texts CD-ROM, published by Brill and Brigham Young University. <br />  <br />  Availability: Full-text<br />  Date Coverage: 2015"
Dead Sea Scrolls Electronic Library Non-Biblical Texts,
DeGruyter Brill eBooks,A multidisciplinary and multilingual collection of electronic books and textbooks from many reputable publishers. The collection covers 28 subject areas.<br />  <br />  Availability: Full-text<br />  Coverage: Complete collection<br />  Format: PDF and ePub
DeGruyter Brill eJournals,"A multidisciplinary and multilingual collection of full-text peer reviewed journals.  Many of the journals are open access. Subjects covered include economics, law, political science, health and medicine, business, statistics and engineering.<br />  <br />  Availability: Full-text<br />  Date Coverage: ----"
Digital Library of the Middle East (DLME),"The Digital Library of the Middle East (DLME) offers free and open access to the rich cultural legacy of the Middle East and North Africa by bringing together collections from a wide range of cultural heritage institutions. Developed by an engineering team from CLIR and Stanford Libraries, the platform federates and makes accessible data about collections from around the world."
Digital National Security Archive (DNSA),"Declassified government documents covering U.S. policy toward critical world events – including their military, intelligence, diplomatic and human rights dimensions – from 1945 to the present. Each collection features chronologies, glossaries, bibliographies, and scholarly overviews of international issues."
Dimensions,"Dimensions Analytics provides access to Dimensions' complete, comprehensive, and connected data set and supports complex data analysis to meet the needs of academic institutions, government organizations, research funders, publishers, and R&D departments.<br />  <br />  Altmetric is part of Digital Science as an Add-On service."
Directory of Open Access Journals (DOAJ),"An open-access service covering free, full text, quality controlled scientific and scholarly journals in all subjects and languages. It contains over 15 000 peer-reviewed open access journals covering all areas of science, technology, medicine, social sciences, arts and humanities. <br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
Documents on British Policy Overseas,"fully searchable collection of primary source documents from Britain's Foreign and Commonwealth Office (FCO), shedding light on diplomatic history throughout the 20th C. It is based on three print series which form a record of British peacetime diplomacy since the end of the 19th C: British Documents on the Origins of the War 1898-1914, Documents on British Foreign Policy 1918-1939 and Documents on British Policy Overseas.<br />  Coverage: 1898 - 1990"
E-Marefa = معرفة,"Arabic language database providing access to academic journals and statistical reports from the Arab world. The information is published by universities, research centers, central banks, scientific associations and regional organizations. Content includes articles, theses, dissertations, reports, and statistics. Subjects covered comprise: humanities, social sciences, medicine, business, engineering, and sciences.<br />  Availability: Full-text<br />  Date Coverage: 1991 to present"
Early Arabic Printed Books from the British Library,"Also known as أمهات الكتب العربية المطبوعة من المكتبة البريطانية :a digital library of pre-20th century Arabic printed books. This historical collection includes a wide range of works that were published from the 15th to 19th centuries. In addition to books printed in Arabic script, the collection includes European translations of Arabic works and Arabic translations of European works. <br />  Availability: Full-text <br />  Date Coverage: 1475-1900<br />  <br />  Topics covered include: Islamic literature, law, science, mathematics, astrology, alchemy, religion, medicine, geography, travel, history, chronicles, and literature."
Early English Books Online,"Digitized collection of printed books published in UK and British North America and works in English printed elsewhere from 1473-1700.<br />  The collection includes works by famous authors such as Shakespeare, Spencer, Malory, Bacon, More, Erasmus, Boyle, Newton, and Galileo. Subjects covered include English literature, language and linguistics, history, music, philosophy and religion. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1473-1700<br />  <br />  EEBO covers more than 30 languages from Algonquin to Welsh, and variant editions and multiple copies.<br />  EEBO consists of facsimile images scanned as listed in the following collections:<br />  <br />      Early English Books I, 1473-1640 (STC I, Pollard & Redgrave)<br />      Early English Books II, 1641-1700 (STC II, Wing)<br />      Thomason Tracts<br />      Early English Books Tract Supplement"
Early European Books,"Digitized collection of rare books and incunabula printed in Europe or in European languages from 1450-1700. The collection is built in partnership with national and other major European libraries. The collection offers full-color, high-resolution facsimile images scanned directly from the original printed sources. New titles are added regularly. AUB Libraries have access to 8 collections. <br />  <br />  Availability: Full-text <br />  Date Coverage: pre-1701<br />  <br />  European libraries: The Royal Library (Copenhagen, Denmark), National Central Library in Florence (Florence, Italy), The National Library (The Hague, The Netherlands), Wellcome Library (London, UK), and National Library of France (Paris, France)."
Early Western Korans,"A collection of primary sources including Korans and Koran translations in eight languages, printed between 1537 and 1857. Among the translations, only those into German and Dutch are offered completely. Of the partial editions, only the typographically or academically most interesting ones are presented here. This early Korans collection demonstrates the impact of the holy book of Islam in Europe. <br />  <br />  Availability: Full text<br />  Date Coverage: 1537-1857<br />  <br />   It also features rare multilingual editions by Thomas Erpenius, Johann Georg Nissel and Johann Andreas Danz, all dating from the"
EBSCO eBook Collection,"Extensive collection of academic, professional, fiction and nonfiction electronic books from leading publishers. The collection covers a wide range of subjects including business, computer science, education, engineering, medicine, history, literature, mathematics, philosophy, politics, psychology, religion, sciences, and social sciences. It includes classic works in literature and history from the public domain. <br />  Availability: Full-text<br />  Date Coverage: Varies"
EconLit With Full Text,"EconLit, the American Economic Association database, is the primary source to economic literature. Contains nearly 600 English journals and many non-English journals in economics & finance. Includes journal articles, books, book reviews, dissertations, and working papers. It covers all fields of economics including economic theory, econometrics, economic forecasting and much more.<br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 1969 to present"
"Economist Historical Archive, The (1843-2015)","A complete searchable copy of every issue of The Economist from 1843 to 2015. It offers full color images, multiple search indexes, topic and area supplements, surveys, a gallery of front covers and a selection of exportable financial tables. The publication presents a multidisciplinary primary source of research covering the 19th and 20th centuries.<br />  <br />  Coverage: 1843-2015"
"Economist, The (first-time users should click on &quot;more&quot; to create an account)","Offers insight and opinion on international news, politics, business, finance, science and technology. It maintains a searchable online archive that dates back to June 1997. In addition to articles, the online version offers a variety of web-only content, including blogs, debates and multimedia programs.<br />  Availability: Full-text<br />  Date Coverage: 1997 to present<br />  Note: To view all the issues, click on Print edition on the right side."
Education Research Complete,"A comprehensive database covering scholarly research and information relating to all areas of education. Topics covered include all levels of education from early childhood to higher education, and all educational specialties. It also covers curriculum instruction, policy, administration, and related social issues. It includes journal articles, conference papers, books and monographs. <br />  Availability: Bibliographic citations and full-text<br />  Date Coverage: ----<br />  <br />  provides full text for more than 2,000 journals back to 1936, and includes conference papers, books and monographs back to 1972."
EduSearch,"A database of ""Al Mandumah"" collection of databases providing access to articles in Arabic journals on social sciences topics."
Egypt and the Rise of Nationalism: 1840–1927,Coverage: 1840–1927
Eighteenth Century Collections Online,"The collection captures the essence of the Enlightenment in Great Britain between 1701 and 1800. <br />  It covers a wide range of subjects including history, geography, arts, literature, law, science, medicine, philosophy, religion and more. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1700s"
Electrochemical Society Digital Library,"The ECS Digital Library provides searchable access to peer-reviewed technical journals, books, proceedings, and other collections published by the Electrochemical Society. All The technical scope of the collection focuses on applied areas of electrochemistry and solid-state science. <br />  <br />  Availability: Full-text<br />  Date Coverage: Varies by title"
ElgarOnline,"A collection of electronic books published by Edward Elgar Publishing. It is hosted on the Ebrary platform.<br />  Subject areas covered include business, economics, ecology, environment, innovation and technology, management, public and social policy. <br />   <br />  Availability: Full-text<br />  Date Coverage: 1993 to present"
EMBASE,"A biomedical and pharmaceutical database indexing articles from over 3,500 international journals and conference abstracts in the following fields: drug research, pharmacology, pharmaceutics, toxicology, clinical and experimental human medicine, health policy and management, public health, occupational health, environmental health, psychiatry, and biomedical engineering / instrumentation.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1947 to present"
Emerald Insight Case Studies,"An online collection of peer-reviewed case studies focusing on business decision making and management development. Teaching cases can be used in classroom situations to stimulate learning and add practical knowledge. These Case Studies engage students through active learning; allow students to transform managerial knowledge into practice; encourage entrepreneurial thinking and critical exploration; and more.<br />  Availability: Full-text<br />  Date Coverage: 2004 to present<br />  <br />  Emerald Emerging Markets Case Studies (EEMCS): Engages students through active learning and examples of real business issues. Spotlights strategic markets and business theory, allowing students to transform managerial knowledge into practice. Encourages entrepreneurial thinking and critical exploration through class activities. Gives an understanding of various issues that are faced by companies in emerging economies."
Emerald Insight Journals,"Provides full-text of more than 130 journals in the fields of management, marketing, human resources and library science.<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
Encyclopaedia Iranica,"The encyclopedia covers all aspects of Iranian civilization in the Middle East, the Caucasus, Central Asia, and the Indian subcontinent. It also cover all aspects of Iranian history and culture, as well as all Iranian languages and literatures, facilitating the entire range of Iranian studies research from archeology to political sciences.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
Encyclopaedia Islamica,"A projected 16-volume publication, consisting of an abridged and edited translation of the Persian ""Dāirat al-Maārif-i Buzurg-i Islāmī"". One unique feature of this work lies in the attention it gives to Shiʿi Islam and its rich and diverse heritage, which makes it complementary to other encyclopaedias. This Brill publication is automatically updated whenever a new volume has been published. <br />  <br />  Availability: Full-text<br />  Date Coverage: 2008 to present"
"Encyclopaedia of Islam, First Edition","The encyclopedia offers access to 9,000 articles and reflects the first highly international collaboration of scholars in this field. <br />  <br />  The scope of the Encyclopedia of Islam First Edition Online is philology, history, theology and law until early 20th century. <br />  <br />  The encyclopedia was originally published in print between 1913 and 1936. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1913-1936<br />  <br />  The demand for an encyclopaedic work on Islam was created by the increasing (colonial) interest in Muslims and Islamic cultures during the nineteenth century."
"Encyclopaedia of Islam, Second Edition","A comprehensive reference work on the Islamic world. It contains the entire text of volume I to XII of the printed edition. It includes articles on famous Muslim personalities, tribes and dynasties, Islamic crafts, political and religious institutions, ethnography, history, monuments of the major towns and cities and much more. It contains articles, figures, drawings, genealogical tables, maps, and biographies.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1954-2004"
"Encyclopaedia of Islam, THREE","Covers a wider range of disciplines and methodologies than the 2nd edition with new articles reflecting the diversity of current scholarship.<br />  The new scope includes comprehensive coverage of Islam in the twentieth century, attention to Muslim minorities all over the world, full attention to social science as well as humanistic perspectives.<br />  <br />  Availability: Full-text<br />  Date Coverage: 2007 to present"
Encyclopaedia of Judaism,"Online version of the 2nd ed. of the print Encyclopeadia. It provides a comprehensive presentation of Judaism covering the religion, its diverse history, literature, beliefs past and present, observances, practices, and place in the context of society and culture. Emphasis is placed on the classical literature of Judaism and its history. It  also includes entries on American Judaism and other contemporary issues.<br />  Availability: Full-text<br />  Date Coverage: 2005 to present"
Encyclopaedia of the Qurʾān,"A comprehensive multi-volume work on the Qur'an published in a Western language. This is an encyclopedic dictionary of qur'anic terms, concepts, personalities, place names, cultural history and exegesis extended with essays on the most important themes and subjects within qur'anic studies. Whenever possible English language entry is used rather than transliterated terminology.<br />  Availability: Full-text<br />  Coverage: 2005 to present"
Encyclopedia of Arabic Language and Linguistics,"A comprehensive encyclopedia covering all relevant aspects of the study of Arabic  language. <br />  The encyclopedia addresses both the external and the internal history of the language, as well as the structural analysis of the different varieties of the language, the interaction between varieties in mixed levels, the linguistic contacts between Arabic and other languages, and much more.<br />  <br />  Availability: Full-text<br />  Date Coverage: 2011<br />  <br />  Some special features of the encyclopedia are the inclusion of dialect sketches of more than 40 dialects, linguistic profile that sketches the sociolinguistic and dialectological make-up of Arabic-speaking countries."
Encyclopedia of Hebrew Language and Linguistics,"Authoritative reference work for students and researchers in the fields of Hebrew & general linguistics, Biblical studies and Jewish literature.<br />  Offers a systematic and comprehensive treatment of all aspects of the history and study of the Hebrew language.<br />  <br />  Availability: Full-text<br />  Date Coverage: 2013"
Encyclopedia of Jewish History and Culture Online,"This encyclopedia covers the recent history of the Jews from 1750 until the 1950s, from Europe to America to the Middle East, North Africa and other non-European Jewish settlement areas. <br />  The encyclopedia presents the current state of international research and depict a complex portrait of Jewish life - illustrated by many maps and images. <br />  <br />  Availability: Full-text"
Encyclopedia of Language & Linguistics,"Online version of the Encyclopedia of Language & Linguistics (2nd ed.) published by Elsevier Science Direct.<br />  A comprehensive, up-to-date and international reference source in language and linguistics. It includes 3,000 articles, 1,500 figures, 3,500 glossary definitions, Approximately 700 biographical entries, 200 language maps, supplementary audio, video and text files online, and more. <br />  Availability: Full-text<br />  Date Coverage: 2006"
Encyclopedia of the Bible and its Reception Online,"A comprehensive reference work of interdisciplinary and international biblical reception. The Encyclopedia documents the history of biblical interpretation and reception, not only in Christianity and Judaism, but also in Islam and other non-Western religious traditions and movements. Contains Hebrew Bible/Old Testament, New Testament, and historical contexts. <br />  Availability: Full-text<br />  Date Coverage: 2010"
Encyclopedia of the History of Arabic Science,"A reference work for scholars of Arabic science, the history of science and Islamic studies. The encyclopedia documents the history and philosophy of Arabic science from the earliest times to the present day. It is divided into three volumes covering six broad categories: astronomy, mathematics, physical sciences, technology, alchemy, and the life sciences. <br />  Availability: Full-text<br />  Date Coverage: 2002"
Encyclopedia of Women and Islamic Cultures,"A compilation of essays on women and Islamic cultures. Published by Brill, this encyclopedia crosses history, geographic borders and disciplines and also reflects the latest research on gender studies and Islamic world. It covers a wide array of topics including family issues, body, sexuality, health, education, mobility, law, politics, arts and more. <br />   <br />  Availability: Full-text<br />  Date Coverage: 2007"
Encyclopedia of world biography,"Provides biographical information on famous people who have made significant contributions to human culture and society.<br />  It covers persons from every part of the world and from all time periods. It includes thousands of photos, a consolidated index, and more. <br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
Environmental Impact Collection,
ERIC,"Sponsored by the US Department of Education, is the national bibliographic database of education literature. Consists of two files: Resources in Education (RIE) and Current Index to Journals in Education (CIJE). Covers journals and  unpublished documents. Contains citations to research reports, teaching guides, conference papers, books and journal articles.<br />  <br />  Availability: Bibliographic citations and selected full-text<br />  Date Coverage: 1966 to present<br />  <br />  Hints: ERIC's EDs are available in Full Text on microfilm/ Audiovisual section / Jafet Library"
ERIC (EBSCO),
Essay and General Literature Retrospective (H.W. Wilson),"Essay & General Literature Index Retrospective contains citations for over 270,000 essays in collections dating back to 1900. Coverage spans the entire range of the humanities and social sciences, including literary works, art history, drama, and film and publications from the U.S., Canada, and Great Britain.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: ----"
Essential Science Indicators,"Essential Science Indicators (ESI) is an analytical tool that helps you identify top-performing research in Web of Science Core Collection. ESI surveys more than 11,000 journals from around the world to rank authors, institutions, countries, and journals in 22 broad fields based on publication and citation performance. Data covers a rolling 10-year period and includes bimonthly updates to rankings and citation counts."
European Views of the Americas: 1493 to 1750,"A comprehensive guide to printed records about the Americas written in Europe before 1750. It covers the history of European exploration as well as portrayals of Native American peoples. Topics covered include American in Literature, British and French in America, Great Britain colonies, discoveries, natural disasters, pirates, slavery, and more. Materials indexed are books, broadside and manuscripts.<br />  Availability: Bibliographic citations<br />  Date Coverage: 1493-1750"
"Evangelism and the Syrian - Lebanon Mission: Correspondence of the Board of Foreign Missions, 1869 - 1910","This collection of primary documents provides information on social conditions in Greater Syria (and Lebanon) and on efforts to spread the gospel during the 19th century.<br />  Documenting the church’s educational, evangelical, and medical work, these are records mainly of incoming correspondence from the mission field and outgoing correspondence from the Board’s headquarters. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1869-1910"
Eventus,A dataset that helps perform event study estimation and testing using the CRSP database or other stock return data.
Evidence analysis library: EAL (3 users at a time),"The Academy of Nutrition and Dietetics Evidence Analysis Library® (EAL®) is a synthesis of the best, most relevant nutritional research on important dietetic practice questions housed within an accessible, online, user-friendly website. The user-friendly website has over 40 systematic reviews and 18 evidence-based nutrition practice guidelines.  Expert workgroup members evaluate, synthesize, and grade the strength of the evidence to support conclusions that answer a precise series of questions."
"ExecuComp (WRDS)-(first time user, click on the “register” tab)","ExecuComp is a data-set from Standard and Poors (S&P) on compensation to American corporate executives, including stock and options ownership. Data includes basic salary, bonus and stock options data, as well as company financial data."
F.A. Davis AT Collection,
F.A. Davis PT Collection,
Financial Times (first-time users should click on &quot;more&quot; to create an account),"Financial Times provides essential business, finance, economic and political news, as well as comments, data and analysis from the Financial Times on FT.com.<br />  Availability: Full-text<br />  Date Coverage: 2005 to present"
Financial Times Historical Archive (1888-2010),"The Financial Times Historical Archive, 1888-2010, is the complete searchable facsimile run of the world's most authoritative daily business newspaper. It includes in addition to the regular newspaper, special supplements and the Financial Times magazine. Its editorial reports, analyses of finance and industry and events of artistic and cultural significance are of high standard. Every article and advertisement printed in the paper can be searched and browsed individually and page by page.<br />  <br />  Coverage: 1888-2010"
Flipster,"A Digital Magazine Platform, it provides access to the digital copy of a selection of magazines including: The Atlantic, The Banker, Bloomberg, Forbes, Fortune, Biblical Archaeology Review, Bloomberg Markets, The New Yorker, Newsweek Global, Christian Science Monitor Weekly, The Nation, and The New Republic. <br />  Availability Full-text. <br />  Coverage: Varies"
Food Science and Technology Abstracts,"Provides access to abstracts of the world's food science, food technology, and food-related human nutrition literature. The database includes journals, patents, books, conference proceedings, reports, theses, standards and legislation. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1969 - present"
Forbes,Forbes has a unique voice in its coverage of global business stories.<br />  Coverage: 2014 - Present
